ID,Isim,Durum,Tur,Cinsiyet
1,"Rick Sanchez","Alive","Human","Male"
2,"Morty Smith","Alive","Human","Male"
3,"Summer Smith","Alive","Human","Female"
4,"Beth Smith","Alive","Human","Female"
5,"Jerry Smith","Alive","Human","Male"
6,"Abadango Cluster Princess","Alive","Alien","Female"
7,"Abradolf Lincler","unknown","Human","Male"
8,"Adjudicator Rick","Dead","Human","Male"
9,"Agency Director","Dead","Human","Male"
10,"Alan Rails","Dead","Human","Male"
11,"Albert Einstein","Dead","Human","Male"
12,"Alexander","Dead","Human","Male"
13,"Alien Googah","unknown","Alien","unknown"
14,"Alien Morty","unknown","Alien","Male"
15,"Alien Rick","unknown","Alien","Male"
16,"Amish Cyborg","Dead","Alien","Male"
17,"Annie","Alive","Human","Female"
18,"Antenna Morty","Alive","Human","Male"
19,"Antenna Rick","unknown","Human","Male"
20,"Ants in my Eyes Johnson","unknown","Human","Male"
21,"Aqua Morty","unknown","Humanoid","Male"
22,"Aqua Rick","unknown","Humanoid","Male"
23,"Arcade Alien","unknown","Alien","Male"
24,"Armagheadon","Alive","Alien","Male"
25,"Armothy","Dead","unknown","Male"
26,"Arthricia","Alive","Alien","Female"
27,"Artist Morty","Alive","Human","Male"
28,"Attila Starwar","Alive","Human","Male"
29,"Baby Legs","Alive","Human","Male"
30,"Baby Poopybutthole","Alive","Poopybutthole","Male"
31,"Baby Wizard","Dead","Alien","Male"
32,"Bearded Lady","Dead","Alien","Female"
33,"Beebo","Dead","Alien","Male"
34,"Benjamin","Alive","Poopybutthole","Male"
35,"Bepisian","Alive","Alien","unknown"
36,"Beta-Seven","Alive","Alien","unknown"
37,"Beth Sanchez","Alive","Human","Female"
38,"Beth Smith","Alive","Human","Female"
39,"Beth Smith","Alive","Human","Female"
40,"Beth's Mytholog","Dead","Mythological Creature","Female"
41,"Big Boobed Waitress","Alive","Mythological Creature","Female"
42,"Big Head Morty","unknown","Human","Male"
43,"Big Morty","Dead","Human","Male"
44,"Body Guard Morty","Dead","Human","Male"
45,"Bill","Alive","Human","Male"
46,"Bill","unknown","Animal","Male"
47,"Birdperson","Alive","Alien","Male"
48,"Black Rick","Alive","Human","Male"
49,"Blamph","Alive","Alien","unknown"
50,"Blim Blam","Alive","Alien","Male"
51,"Blue Diplomat","Alive","Alien","Male"
52,"Blue Footprint Guy","Dead","Human","Male"
53,"Blue Shirt Morty","unknown","Human","Male"
54,"Bobby Moynihan","Alive","Human","Male"
55,"Boobloosian","Dead","Alien","unknown"
56,"Bootleg Portal Chemist Rick","Dead","Human","Male"
57,"Borpocian","Alive","Alien","Male"
58,"Brad","Alive","Human","Male"
59,"Brad Anderson","Dead","Human","Male"
60,"Calypso","Dead","Human","Female"
61,"Campaign Manager Morty","Dead","Human","Male"
62,"Canklanker Thom","Dead","Alien","Male"
63,"Centaur","Alive","Mythological Creature","Male"
64,"Chris","Dead","Alien","unknown"
65,"Chris","Alive","Humanoid","Male"
66,"Coach Feratu (Balik Alistane)","Dead","Mythological Creature","Male"
67,"Collector","Alive","Alien","Male"
68,"Colossus","Dead","Human","Male"
